,HARGA,LT,LB,JKT,JKM,GRS,KOTA
852,12500000000,875,578,6,5,1,BADUNG
853,2950000000,82,145,3,3,1,BADUNG
854,28000000000,490,500,5,4,1,BADUNG
855,15700000000,860,350,5,4,1,BADUNG
856,14900000000,291,400,4,4,0,BADUNG
857,15000000000,542,452,5,5,1,BADUNG
858,14500000000,325,450,3,3,1,BADUNG
859,72000000000,855,589,5,3,1,BADUNG
860,5200000000,390,250,3,2,1,BADUNG
861,7500000000,105,275,3,3,1,BADUNG
862,75000000000,3000,2000,4,4,1,BADUNG
863,8500000000,226,330,5,5,1,BADUNG
864,12500000000,340,419,4,4,0,BADUNG
865,6100000000,199,350,4,4,1,BADUNG
866,1280000000,72,78,3,2,0,BADUNG
867,30000000000,1100,800,5,6,1,BADUNG
868,11000000000,459,500,5,5,1,BADUNG
869,22900000000,680,850,4,4,0,BADUNG
870,9500000000,460,550,4,5,0,BADUNG
871,4970000000,161,300,5,3,0,BADUNG
872,42000000000,709,500,3,4,0,BADUNG
873,11000000000,256,350,4,4,1,BADUNG
874,28000000000,997,800,4,5,1,BADUNG
875,29900000000,680,650,6,6,0,BADUNG
876,12900000000,1145,400,6,4,0,BADUNG
877,4800000000,340,275,4,3,1,BADUNG
878,7000000000,248,240,4,2,0,BADUNG
879,15000000000,291,400,4,4,1,BADUNG
880,15000000000,1148,500,4,4,1,BADUNG
881,7300000000,385,270,3,2,1,BADUNG
882,4200000000,151,145,4,4,1,BADUNG
883,4500000000,203,100,4,3,1,BADUNG
884,23200000000,400,350,4,3,1,BADUNG
885,34000000000,525,525,4,4,1,BADUNG
886,7500000000,149,325,5,3,0,BADUNG
887,550000000,84,50,2,1,0,BADUNG
888,22000000000,616,800,6,5,1,BADUNG
889,1200000000,60,70,3,2,1,BADUNG
890,38000000000,320,1000,5,5,1,BADUNG
891,21000000000,560,700,5,5,1,BADUNG
892,60000000000,610,700,4,4,1,BADUNG
893,5800000000,126,256,3,3,1,BADUNG
894,15500000000,216,300,6,8,0,BADUNG
895,45000000000,483,1100,5,5,1,BADUNG
896,2700000000,310,400,6,4,1,BADUNG
897,1700000000,213,125,4,4,1,BADUNG
898,3250000000,146,70,6,2,1,BADUNG
899,7700000000,422,400,4,4,1,BADUNG
900,19700000000,903,600,3,3,1,BADUNG
901,1750000000,133,140,3,3,1,BADUNG
902,6750000000,350,200,3,2,1,BADUNG
903,30000000000,3000,500,4,4,1,BADUNG
904,23000000000,348,468,4,4,1,BADUNG
905,5000000000,212,195,4,3,1,BADUNG
906,55000000000,4035,1500,6,6,0,BADUNG
907,4800000000,290,240,4,3,1,BADUNG
908,430000000,25,40,2,2,0,BADUNG
909,4900000000,130,320,3,2,1,BADUNG
910,15000000000,290,400,4,3,1,BADUNG
911,28000000000,404,837,4,4,1,BADUNG
912,13000000000,616,600,5,4,1,BADUNG
913,15500000000,480,600,22,10,1,BADUNG
914,10500000000,1000,476,5,5,1,BADUNG
915,6500000000,250,280,3,2,1,BADUNG
916,4050000000,468,500,5,4,1,BADUNG
917,9000000000,355,400,6,5,1,BADUNG
918,5900000000,403,200,4,3,1,BADUNG
919,6500000000,400,300,4,4,1,BADUNG
920,8500000000,540,450,5,4,1,BADUNG
921,32000000000,325,600,4,8,1,BADUNG
922,21000000000,250,400,3,3,1,BADUNG
923,18000000000,290,450,4,3,1,BADUNG
924,8500000000,529,315,4,4,1,BADUNG
925,2800000000,170,169,4,4,0,BADUNG
926,28000000000,830,400,8,4,0,BADUNG
927,2950000000,170,230,5,2,0,BADUNG
928,7300000000,230,350,5,3,1,BADUNG
929,11000000000,268,400,5,4,1,BADUNG
930,5900000000,160,176,3,2,1,BADUNG
931,8000000000,555,284,4,5,1,BADUNG
932,4000000000,164,217,3,3,1,BADUNG
933,1300000000,62,110,3,3,1,BADUNG
934,1230000000,60,65,2,2,0,BADUNG
935,1200000000,65,60,2,2,1,BADUNG
936,38000000000,316,1000,5,5,1,BADUNG
937,4500000000,567,300,3,2,1,BADUNG
938,6000000000,347,120,4,3,1,BADUNG
939,25000000000,700,1200,5,7,1,BADUNG
940,7500000000,186,380,3,4,0,BADUNG
941,7000000000,200,300,3,3,0,BADUNG
942,15000000000,702,451,4,4,1,BADUNG
943,100000000000,945,700,4,4,1,BADUNG
944,3600000000,105,136,3,2,0,BADUNG
945,6500000000,210,330,4,4,0,BADUNG
946,29000000000,300,295,4,3,0,BADUNG
947,95000000000,3300,600,5,4,0,BADUNG
948,28000000000,404,837,4,4,0,BADUNG
949,10500000000,507,480,6,5,1,BADUNG
950,4970000000,154,300,5,3,1,BADUNG
951,68000000000,814,494,5,5,1,BADUNG
952,15000000000,291,400,7,6,1,BADUNG
953,2480000000,120,160,4,3,0,BADUNG
954,13500000000,380,400,5,4,1,BADUNG
955,11000000000,378,350,4,1,1,BADUNG
956,2190000000,111,125,3,2,1,BADUNG
957,4350000000,105,220,3,3,1,BADUNG
958,7800000000,206,300,4,4,1,BADUNG
959,30000000000,458,400,4,4,0,BADUNG
960,42000000000,630,500,5,4,1,BADUNG
961,1800000000,111,160,4,3,0,BADUNG
962,3900000000,360,250,5,3,0,BADUNG
963,169000000000,2122,1024,10,5,0,BADUNG
964,7500000000,220,305,4,4,0,BADUNG
965,27000000000,1752,712,3,2,1,BADUNG
966,6800000000,210,262,4,3,1,BADUNG
967,10500000000,300,378,4,3,0,BADUNG
968,13750000000,500,640,5,6,1,BADUNG
969,6900000000,210,330,4,4,1,BADUNG
970,5800000000,122,240,3,3,1,BADUNG
971,5500000000,180,350,4,3,1,BADUNG
972,6900000000,450,600,5,6,1,BADUNG
973,5900000000,160,300,3,2,1,BADUNG
974,28000000000,488,450,5,3,1,BADUNG
975,20000000000,292,800,27,27,0,BADUNG
976,77500000000,1148,1200,8,6,1,BADUNG
977,3250000000,105,140,3,3,1,BADUNG
978,1600000000,229,160,3,2,0,BADUNG
979,15000000000,400,500,4,5,1,BADUNG
980,25000000000,674,500,5,4,1,BADUNG
981,2200000000,105,124,3,3,1,BADUNG
982,6750000000,200,180,2,2,0,BADUNG
983,3600000000,136,180,3,2,0,BADUNG
984,1450000000,76,130,3,3,0,BADUNG
985,6400000000,235,310,5,4,1,BADUNG
986,1750000000,133,130,3,3,1,BADUNG
987,6750000000,187,337,6,4,1,BADUNG
988,85000000000,1180,1200,5,6,1,BADUNG
989,65000000000,472,1200,5,5,1,BADUNG
990,21000000000,321,800,5,6,1,BADUNG
991,4500000000,972,350,4,3,1,BADUNG
992,1530000000,78,107,3,3,0,BADUNG
993,3500000000,169,215,4,4,1,BADUNG
994,1100000000,65,100,3,3,1,BADUNG
995,3700000000,540,350,4,2,1,BADUNG
996,16000000000,488,550,6,5,1,BADUNG
997,4500000000,209,270,4,4,1,BADUNG
998,29000000000,692,400,4,3,0,BADUNG
999,1700000000,102,140,4,3,0,BADUNG
1000,1250000000,63,110,3,3,0,BADUNG
